english,transliteration,arabic,source
result,natiija,نتيجة,government_and_politics
results,nataa'ij,نتائج,government_and_politics
half,naSf,نصف,government_and_politics
percentage,nisba,نسبة,government_and_politics
percentages,nisab,نسب,government_and_politics
majority,aġlabiyya/aktariyya,أغلبية | أكثرية,government_and_politics
with ,ma3a,مع,government_and_politics
against,Didd,ضد,government_and_politics
issue,qaDiyya,قضية,government_and_politics
issues,qaDaaya,قضايا,government_and_politics
affair,ša'n,شأن,government_and_politics
affairs,šu'uun,شؤون,government_and_politics
law,qaanuun,قانون,government_and_politics
laws,qawaaniin,قوانين,government_and_politics
policy,siyaasa,سياسة,government_and_politics
policies,siyaasaat,سياسات,government_and_politics
restrictions ,quyuud 3ala,قيود على,government_and_politics
reform,iSlaaH,اصلاح,government_and_politics
reforms,iSlaaHaat,اصلاحات,government_and_politics
controversy ,jadal Hawla,جدل حول,government_and_politics
scandal,faDiiHa,فضيحة,government_and_politics
scandals,faDaa'iH,فضائح,government_and_politics
negligence,ihmaal,اهمال,government_and_politics
swindling,naSb,نصب,government_and_politics
favoritism,muHaabaah,محاباة,government_and_politics
nepotism,maHsuubiyya,محسوبية,government_and_politics
connections,waasTa,واسطة,government_and_politics
security,amn,أمن,government_and_politics
safety,salaama,سلامة,government_and_politics
peace,salaam,سلام,government_and_politics
stability,istiqraar,استقرار,government_and_politics
protection,Himaaya,حماية,government_and_politics
unity,waHda,وحدة,government_and_politics
equality,musaawaah,مساواة,government_and_politics
independence,istiqlaal,استقلال,government_and_politics
sovereignty,siyaada,سيادة,government_and_politics
justice,3adl/3adaala,عدل/عدالة,government_and_politics
tolerance,tasaamuH,تسامح,government_and_politics
coexistence,ta3aayuš,تعايش,government_and_politics
pluralism,ta3addud,تعدد/تعددية,government_and_politics
diversity,tanawwu3,تنوّع,government_and_politics
freedom,Hurriyya,حرية,government_and_politics
dignity,karaama,كرامة,government_and_politics
conscience,Damiir,ضمير,government_and_politics
principle,mabda',مبدأ,government_and_politics
principles,mabaadi',مبادئ,government_and_politics
morals,axlaaq  xulq,أخلاق    خلق,government_and_politics
standard,mi3yaar,معيار,government_and_politics
standards,ma3aayiir,معايير,government_and_politics
right,Haqq,حق,government_and_politics
rights,Huquuq,حقوق,government_and_politics
oppression,Zulm,ظلم,government_and_politics
persecution,iDTihaad,اضطهاد,government_and_politics
repression,qam3,قمع,government_and_politics
tyranny,istibdaad,استبداد,government_and_politics
prejudice,taHayyuz,تحيّز,government_and_politics
discrimination,tamyiiz,تمييز,government_and_politics
racism,3unSuriyya,عنصرية,government_and_politics
torture,ta3diib,تعذيب,government_and_politics
massacre,madbaHa,مذبحة,government_and_politics
massacres,madaabiH,مذابح,government_and_politics
genocide,ibaada ,ابادة ,government_and_politics
ethnic cleansing,taThiir 3irqi,تطهير عرقي,government_and_politics
honor crime,jariimat šaraf,جريمة,government_and_politics
honor crimes,jaraa'im šaraf,جرائم شرف,government_and_politics
prostitution,da3aara,دعارة,government_and_politics
slavery,3ubuudiyya,عبودية,government_and_politics
body,jism,جسم,human_body
bodies,ajsaam,اجسام,human_body
part,3uDw,عضو,human_body
parts,a3Daa',اعضاء,human_body
gland,ġudda,غدة,human_body
glands,ġudad,غدد,human_body
skin,jild,جلد,human_body
skins,juluud,جلود,human_body
head,ra's,رأس,human_body
heads,ru'uus ,رؤوس,human_body
skull,jumjuma,جمجمة,human_body
skulls,jamaajim,جماجم,human_body
brain,dimaaġ,دماغ,human_body
brains,admiġa,ادمغة,human_body
hair,ša3r,شَعر,human_body
bangs,quSSa,قصّة,human_body
straight ,naa3im,ناعم,human_body
curly,muja33ad,مجعد,human_body
wavy,mutamawwij,متموج,human_body
dry,jaaf,جاف,human_body
coarse,xašin,خشن,human_body
greasy,duhni,دهني,human_body
thick,samiik,سميك,human_body
thinning ,xafiif,خفيف,human_body
mustache,šaarib,شارب,human_body
mustaches,šawaarib,شوارب,human_body
beard,liHya,لحية,human_body
beards,luHa,لحى,human_body
bald,aSla3,أصلع,human_body
completely bald,zalabaTTa,زلبطّة,human_body
wig,ša3r musta3aar,شعر مستعار,human_body
dandruff,qišra,قشرة,human_body
face,wajh,وجه,human_body
faces,wujuuh,وجوه,human_body
forehead,jabiin,جبين,human_body
foreheads,jubun,جبن,human_body
temple,Sudġ,صدغ,human_body
temples,aSdaaġ,اصداغ,human_body
cheek,xudd,خد,human_body
cheeks,xuduud,خدود,human_body
pimple,dummal,دمّل,human_body
pimples,damaamiil,دماميل,human_body
acne,Habb iš-šabaab,حب الشباب,human_body
mole,xaal,خال,human_body
moles,xiilaan,خيلان,human_body
freckles,namaš,نمش,human_body
eye,3ein,عين,human_body
eyes,3uyuun ,عيون,human_body
eyelid,jafn,جفن,human_body
eyelids,jufuun,جفون,human_body
eyelash,rimš,رمش,human_body
eyelashes,rumuuš,رموش,human_body
pupil,bu'bu',بؤبؤ,human_body
iris,quzaHiya,قزحية,human_body
cornea,qarniya,قرنية,human_body
ear,udun,اذن,human_body
ears,aadaan,آذان,human_body
nose,anf,أنف,human_body
noses,unuuf,انوف,human_body
nostril,minxaar,منخار,human_body
nostrils,manaaxiir,مناخير,human_body
mouth,fam,فم,human_body
mouths,afwaah,افواه,human_body
tonsils,loozataan,لوزتان,human_body
saliva,lu3aab,لعاب,human_body
lip,šafa,شفة,human_body
lips,šifaah,شفاه,human_body
upper,3ulwii,علوي,human_body
lower,suflii,سفلي,human_body
tongue,lisaan,لسان,human_body
tongues,alsina,السنة,human_body
tooth,sinn,سن,human_body
teeth,asnaan,اسنان,human_body
gums,litta,لثة,human_body
chin,daqan,ذقن,human_body
chins,duquun,ذقون,human_body
jaw,fakk,فك,human_body
jaws,fukuuk,فكوك,human_body
neck,raqaba,رقبة,human_body
necks,riqaab,رقاب,human_body
nape of the neck,qafaa,قفا,human_body
nape of the necks,aqfiya,اقفية,human_body
throat,Hanjara,حنجرة,human_body
throats,Hanaajir,حناجر,human_body
esophagus,mari',مرئ,human_body
esophaguses,amri'a | muruu',امرائة  |  مروء,human_body
collarbone,tarquwa,ترقوة,human_body
collarbones,taraaq,تراق,human_body
shoulder,katif,كتف,human_body
shoulders,aktaaf,اكتاف,human_body
chest,Sadr,صدر,human_body
chests,Suduur,صدور,human_body
bust,tady,ثدي,human_body
busts,atdaa',اثداء,human_body
nipple,Halama,حلمة,human_body
nipples,Halamaat,حلمات,human_body
arm,diraa3,ذراع,human_body
arms,adru3,اذرع,human_body
armpit,ibT,ابط,human_body
armpits,aabaaT,آباط,human_body
elbow,mirfaq,مرفق,human_body
elbows,maraafiq,مرافق,human_body
forearm,saa3id,ساعد,human_body
forearms,sawaa3id,سواعد,human_body
hand,yad,يد,human_body
hands,eid,ايد,human_body
wrist,rusġ,رسغ,human_body
wrists,arsaaġ,ارساغ,human_body
finger/toe*,iSba3,اصبع,human_body
finger/toe*s,aSaabi3,اصابع,human_body
thumb/big toe,ibhaam,ابهام,human_body
thumb/big toes,abaahiim,اباهيم,human_body
index finger,sabbaaba,سبابة,human_body
index fingers,sabbaabaat,سبابات,human_body
middle finger,wusTa,وسطى,human_body
middle fingers,wusaT,وسط,human_body
ring finger,binSir,بنصر,human_body
ring fingers,banaaSir,بناصر,human_body
pinky finger,xinSir,خنصر,human_body
pinky fingers,xanaaSir,خناصر,human_body
knuckle,mafSil,مفصل,human_body
knuckles,mafaaSil,مفاصل,human_body
fingernail/toenail,Zufr,ظفر,human_body
fingernail/toenails,aZfaar | aZaafir,اظفار  |  اظافر,human_body
abdomen,baTn,بطن,human_body
abdomen,buTuun,بطون,human_body
stomach,ma3ida,معدة,human_body
stomaches,mi3ad,معد,human_body
navel,surra,سرة,human_body
navels,surar,سرر,human_body
waist,xaSr,خصر,human_body
waists,xuSuur,خصور,human_body
hip,ridf,ردف,human_body
hips,ardaaf,ارداف,human_body
leg,rijl,رجل,human_body
legs,arjul,ارجل,human_body
thigh,faxid,فخذ,human_body
thighs,afxaad,افخاذ,human_body
knee,rukba,ركبة,human_body
knees,rukab,ركب,human_body
ankle,kaaHil,كاحل,human_body
ankles,kawaaHil,كواحل,human_body
anklebone,bizz,بزّ,human_body
anklebones,bizaaz ir-rigl,بزاز الرجل,human_body
heel,3aqib,عقب,human_body
heels,a3qaab,اعقاب,human_body
foot,qadam,قدم,human_body
feet,aqdaam,اقدام,human_body
back,Zahr,ظهر,human_body
backs,Zuhuur,ظهور,human_body
buttocks,ridfaan,ردفان,human_body
rear end,mo'axara,مؤخّرة,human_body
lung,ri'a,رئه,human_body
lungs,ri'aat,رئات,human_body
heart,qalb,قلب,human_body
hearts,quluub,قلوب,human_body
rib,Dila3,ضلع,human_body
ribs,Duluu3,ضلوع,human_body
liver,kabd,كبد,human_body
livers,kubuud,كبود,human_body
kidney,kulya,كلية,human_body
kidneys,kula,كلى,human_body
colon,quuluun,قولون,human_body
colons,quuluunaat,قولونات,human_body
pancreas,bankriiaas,بنكرياس,human_body
bladder,mataana,مثانة,human_body
bladders,mataanaat,مثانات,human_body
appendix,zaa'ida,زائدة,human_body
appendices,zawaa'id duudiya,زوائد دودية,human_body
blood,damm,دمّ,human_body
blood,dimaa',دماء,human_body
artery,širyaan,شريان,human_body
arteries,šaraayiin,شرايين,human_body
vein,3irq,عرق,human_body
veins,3uruuq,عروق,human_body
jugular vein,wariid,وريد,human_body
jugular veins,wurud,ورد,human_body
muscle,3aDala,عضلة,human_body
muscles,3aDalaat,عضلات,human_body
bone,3aZm,عظم,human_body
bones,3iZaam,عظام,human_body
hearing,sam3,سمع,human_body
breath,nafas,نفس,human_body
breaths,anfaas,أنفاس,human_body
to tickle,zaġzaġ - yizaġzaġ ,زغزغ - يزغزغ ,human_body
hiccups,fuwaaq,فواق,human_body
to fart/break wind silently,fisi - yifsi ,فسي - يفسي ,human_body
a silent fart,fasya,فسى,human_body
a silent farts,fasyaat,فسيات,human_body
a loud fart,DarTa,ضرطة,human_body
a loud farts,ZarTaat,ظرطات,human_body
fat,samiin,سمين,human_body
thin,naHiif,نحيف,human_body
tall,Tawiil,طويل,human_body
talls,Tuwaal,طوال,human_body
short,qaSiir,قصير,human_body
shorts,quSaar,قصار,human_body
beautiful ,jamiil ,جميل ,human_body
handsome,wasiim,وسيم,human_body
ugly,baši3,بشع,human_body
uglies,weHšiin,وحشين,human_body
dye,Sibġa,صبغة,human_body
tattoo,wašm,وشم,human_body
tattoos,wušuum,وشوم,human_body
scar,nadba,ندبة,human_body
scars,andaab,أنداب,human_body
human,insaan,إنسان,mankind_and_kinship
human being; mankind,bašar,بشر,mankind_and_kinship
human being,bani aadam,بني آدم,mankind_and_kinship
people,naas,ناس,mankind_and_kinship
people ,ša3b,شعب,mankind_and_kinship
people s,šu3uub,شعوب,mankind_and_kinship
person,šaxS,شخص,mankind_and_kinship
people,ašxaaS,أشخاص,mankind_and_kinship
person (e.g. in a census,nasama,نسمة,mankind_and_kinship
person (e.g. in a censuses,nasamaat,نسمات,mankind_and_kinship
individual ,fard,فرد,mankind_and_kinship
individual s,afraad,أفراد,mankind_and_kinship
life,Hayaah,حياة,mankind_and_kinship
lives,Hayawaat,حيوات,mankind_and_kinship
young ,Saġiir,صغير,mankind_and_kinship
young s,Suġaar,صغار,mankind_and_kinship
age,3omr,عمر,mankind_and_kinship
How old are you?,kam 3omrak?,كم عمرك؟,mankind_and_kinship
baby,Tifl raDii3,طفل رضيع,mankind_and_kinship
babies,aTfaal ruDaa3,أطفال رضاع,mankind_and_kinship
child,Tifl,طفل,mankind_and_kinship
children,aTfaal,أطفال,mankind_and_kinship
boy or son,walad,ولد,mankind_and_kinship
boy or sons,awlaad,أولاد,mankind_and_kinship
boy,Sabi,صبي,mankind_and_kinship
boys,Sibyaan,صبيان,mankind_and_kinship
son,ibn,ابن,mankind_and_kinship
sons,abnaa',أبناء,mankind_and_kinship
girl or daughter,bint,بنت,mankind_and_kinship
girl or daughters,banaat,بنات,mankind_and_kinship
daughter,kariima,كريمة,mankind_and_kinship
daughters,karaa'im,كرائم,mankind_and_kinship
girl,Sabiyya,صبية,mankind_and_kinship
girls,Sabaaya,صبايا,mankind_and_kinship
kid,3ayyil,عيّل,mankind_and_kinship
kids,3iyaal,عيال,mankind_and_kinship
teenager,muraahiq,مراهق,mankind_and_kinship
young boy/man,fatan,فتى,mankind_and_kinship
young boy/men,fityaan,فتيان,mankind_and_kinship
young girl/woman,fataah,فتاة,mankind_and_kinship
young girl/women,fatayaat,فتيات,mankind_and_kinship
young people,šabaab,شباب,mankind_and_kinship
young man,šaabb,شاب,mankind_and_kinship
young men,šubbaan,شبان,mankind_and_kinship
young woman,šaabba,شابة,mankind_and_kinship
young women,šaabbaat,شابات,mankind_and_kinship
minor,qaaSir,قاصر,mankind_and_kinship
adult,baaliġ,بالغ,mankind_and_kinship
man,rajul,رجل,mankind_and_kinship
men,rijaal,رجال,mankind_and_kinship
woman,imra'a,امرأة*,mankind_and_kinship
women,nisaa',نساء,mankind_and_kinship
sex or  race,jins,جنس,mankind_and_kinship
sex or  races,ajnaas,أجناس,mankind_and_kinship
family,3aa'ila,عائلة,mankind_and_kinship
families,3aa'ilaat,عائالات,mankind_and_kinship
 family,usra,أسرة,mankind_and_kinship
 families,usar,أسر,mankind_and_kinship
family ,ahl,أهل,mankind_and_kinship
relative,qariib,قريب,mankind_and_kinship
relatives,aqribaa',أقرباء,mankind_and_kinship
father,ab,أب,mankind_and_kinship
fathers,aabaa',آباء,mankind_and_kinship
dad,baaba,بابا,mankind_and_kinship
mother,umm,أمّ,mankind_and_kinship
mothers,ummahaat,أمهات,mankind_and_kinship
mom,maama,ماما,mankind_and_kinship
brother,ax,أخ,mankind_and_kinship
brothers,ixwa,اخوة,mankind_and_kinship
 brother,šaqiiq,شقيق,mankind_and_kinship
 brothers,ašiqaa',أشقاء,mankind_and_kinship
sister,uxt,أخت,mankind_and_kinship
sisters,axawaat,اخوات,mankind_and_kinship
twin,taw'am,تؤام,mankind_and_kinship
twins,tawaa'im,توائم,mankind_and_kinship
orphan,yatiim,يتيم,mankind_and_kinship
orphans,yataama,يتامى,mankind_and_kinship
paternal uncle,3amm,عمّ,mankind_and_kinship
paternal uncles,3umuum,عموم,mankind_and_kinship
paternal aunt,3amma,عمّة,mankind_and_kinship
paternal aunts,3ammaat,عمّات,mankind_and_kinship
maternal uncle,xaal,خال,mankind_and_kinship
maternal uncles,axwaal,أخوال,mankind_and_kinship
maternal aunt,xaala,خالة,mankind_and_kinship
maternal aunts,xaalaat,خالات,mankind_and_kinship
nephew/niece,ibn/bint ax/uxt,ابن/بنت اخ/اخت,mankind_and_kinship
grandfather,jadd,جدّ,mankind_and_kinship
grandfathers,juduud,جدود,mankind_and_kinship
grandpa,giddu,جدو,mankind_and_kinship
grandmother,jadda,جدة,mankind_and_kinship
grandmothers,jaddaat,جدات,mankind_and_kinship
grandma,teta,تيتا,mankind_and_kinship
grandchild,Hafiid,حفيد,mankind_and_kinship
grandchildren,aHfaad,أحفاد,mankind_and_kinship
in-law,nasiib,نسيب,mankind_and_kinship
in-laws,ansibaa',أنسباء,mankind_and_kinship
father-in-law,Hamaah,حماه,mankind_and_kinship
father-in-laws,aHmaa',احماء,mankind_and_kinship
mother-in-law,Hamaah,حماة,mankind_and_kinship
mother-in-laws,Hamawaat,حموات,mankind_and_kinship
son-in-law,Sihr,صهر,mankind_and_kinship
son-in-laws,aShaar,أصهار,mankind_and_kinship
daughter-in-law,kanna,كنّة,mankind_and_kinship
daughter-in-laws,kanaa'in,كنائن,mankind_and_kinship
brother-in-law ,silf,سلف,mankind_and_kinship
brother-in-law s,aslaaf,أسلاف,mankind_and_kinship
brother-in-law ,3adiil,عديل,mankind_and_kinship
brother-in-law s,3adaa'il,عدائل,mankind_and_kinship
sister-in-law,silfa,سلفة,mankind_and_kinship
sister-in-laws,salaayif,,mankind_and_kinship
single,a3zab,أعزب,mankind_and_kinship
marriage,zawaaj,زواج,mankind_and_kinship
wedding,zifaaf,زفاف,mankind_and_kinship
weddings,afraaH,أفراح,mankind_and_kinship
* used by Christians in Egypt *,ikliil,إكليل,mankind_and_kinship
honeymoon,šahr 3asal,شهر عسل,mankind_and_kinship
dowry,mahr,مهر,mankind_and_kinship
dowries,muhuur,مهور,mankind_and_kinship
engaged,maxTuub,مخطوب,mankind_and_kinship
engagement,xuTuuba,خطوبة,mankind_and_kinship
* used by Christians in Egypt *,noSS ikliil,نص إكليل,mankind_and_kinship
to break an engagement,fisix - yifsax  xuTuuba,فسخ - يفسخ  خطوبة,mankind_and_kinship
bride,3aruus,عروس,mankind_and_kinship
brides,3araa'is,عرائس,mankind_and_kinship
bridegroom,3ariis,عريس,mankind_and_kinship
bridegrooms,3irsaan,عرسان,mankind_and_kinship
husband,zawj,زوج,mankind_and_kinship
husbands,azwaaj,أزواج,mankind_and_kinship
wife,zawja,زوجة,mankind_and_kinship
wives,zawjaat,زوجات,mankind_and_kinship
pregnant,Haamil,حامل,mankind_and_kinship
divorce,Talaaq,طلاق,mankind_and_kinship
society or community,mujtama3,مجتمع,mankind_and_kinship
society or communities,mujtama3aat,مجتمعات,mankind_and_kinship
culture,taqaafa,ثقافة,mankind_and_kinship
cultures,taqaafaat,ثقافات,mankind_and_kinship
civilization,HaDaara,حضارة,mankind_and_kinship
civilizations,HaDaaraat,حضارات,mankind_and_kinship
tradition,taqliid,تقليد,mankind_and_kinship
traditions,taqaaliid,تقاليد,mankind_and_kinship
custom,3aada,عادة,mankind_and_kinship
customs,3aadaat,عادات,mankind_and_kinship
dialect,lahaja,لهجة,mankind_and_kinship
dialects,lahajaat,لهجات,mankind_and_kinship
tribe,qabiila,قبيلة,mankind_and_kinship
tribes,qabaa'il,قبائل,mankind_and_kinship
news,xabar,خبر,media
news,axbaar,أخبار,media
current,Haali,حالي,media
latest,aaxir,آخر,media
development,taTawwur,تطوّر,media
developments,taTawwuraat,تطوّرات,media
event,Hadat,حدث,media
events,aHdaat,أحداث,media
situation,waD3,وضع,media
situations,awDaa3,أوضاع,media
state,Haal,حال,media
states,aHwaal,أحوال,media
circumstance,Zarf,ظرف,media
circumstances,Zuruuf,ظروف,media
topic,mawDuu3,موضوع,media
topics,mawaaDii3,مواضيع,media
phenomenon,Zaahira,ظاهرة,media
phenomena,Zawaahir,ظواهر,media
field,majaal,مجال,media
fields,majaalaat,مجالات,media
identity,hawiyya,هوية,media
identities,hawiyyaat,هويات,media
measure,ijraa',اجراء,media
measures,ijraa'aat,اجراءات,media
list,qaa'ima,قائمة,media
lists,qawaa'im,قوائم,media
guest,Deif,ضيف,media
guests,Duyuuf,ضيوف,media
summit,qimma,قمة,media
summits,qimmaat,قمات,media
meeting,ijtimaa3,اجتماع,media
meetings,ijtimaa3aat,اجتماعات,media
conference,mu'tamar,مؤتمر,media
conferences,mu'tamaraat,مؤتمرات,media
symposium,nadwa,ندوة,media
symposia,nadawaat,ندوات,media
session or round,doora,دورة,media
session or rounds,dooraat,دورات,media
to be held,"in3aqada, yan3aqidu ",انعقد – ينعقد ,media
contact,ittiSaal,اتصال,media
contacts,ittiSaalaat ma3a/bi,اتصالات مع | بـ,media
relations with,3alaqaat ma3a,علاقات مع,media
link,raabiT,رابط,media
links,rawaabiT bi,روابط بـ,media
number,3adad,عدد,media
numbers,a3daad,أعداد,media
common,muštarak,مشترك,media
mutual,mutabaadal,متبادل,media
means,sabiil,سبيل,media
means,subul,سبل,media
manner,Tariiqa,طريقة,media
manners,Taraa'iq,طرائق,media
beginning,bidaaya,بداية,media
end,nihaaya,نهاية,media
statement,taSriiH,تصريح,media
statements,taSriiHaat,تصريحات,media
announcement,i3laan,اعلان,media
announcements,i3laanaat,اعلانات,media
official ,rasmi,رسمي,media
decision; resolution,qaraar,قرار,media
decision; resolutions,qaraaraat,قرارات,media
petition,3ariiDa,عريضة,media
petitions,3araa'iD,عرائض,media
initiative,mubaadara,مبادرة,media
initiatives,mubaadaraat,مبادرات,media
suggestion,iqtiraaH,اقتراح,media
suggestions,iqtiraaHaat,اقتراحات,media
hypothetical,iftiraaDi,افتراضي,media
plan,xiTTa,خطة,media
plans,xuTaT,خطط,media
project,mašruu3,مشروع,media
projects,mašaarii3,مشاريع,media
speech,xiTaab,خطاب,media
speeches,xiTaabaat,خطابات,media
reply,radd,ردّ,media
replies,ruduud,ردود,media
reaction,radd fi3l,ردّ فعل,media
development,tanmiyya,تنمية,media
growth,numuww,نمو,media
continuing,mustamirr,مستمر,media
prepared,musta3idd,مستعد,media
agenda,barnaamaj 3amal,برنامج عمل,media
control,haymana,هيمنة,media
interest,maSlaHa,مصلحة,media
interests,maSaaliH,مصالح,media
will,iraada,ارادة,media
desire,raġba,رغبة,media
desires,raġabaat fi,رغبات في,media
observer,muraaqib,مراقب,media
observers,muraaqibuun,مراقبون,media
vision,ru'iya,رؤية,media
visions,ru'a,رؤى,media
comprehensive,šaamil,شامل,media
complete,kaamil,كامل,media
basis,asaas,أساس,media
bases,usus,أسس,media
accusation,ittihaam,اتّهام,media
accusations,ittihaamaat,اتّهامات,media
invalid,baaTil,باطل,media
demonstration,muZaahara,مظاهرة,media
demonstrations,muZaaharaat,مظاهرات,media
crowded,Haašid,حاشد,media
march,masiira,مسيرة,media
marches,masiiraat,مسيرات,media
parade,isti3raaD,استعراض,media
parades,isti3raaDaat,استعراضات,media
riot,šaġab,شغب,media
popular demand,iqbaal ša3bi,اقبال شعبي,media
sit-in,i3tiSaam,اعتصام,media
sit-ins,i3tiSaamaat,اعتصامات,media
strike,iDraab,اضراب,media
strikes,iDraabaat,اضرابات,media
protesting cry,hutaaf,هتاف,media
protesting cries,hutaafaat,هتافات,media
sign or leaflet,laafita,لافتة,media
sign or leaflets,laafitaat,لافتات,media
international,dawli,دولي,media
regional,iqliimi,إقليمي,media
local,maHalli,محلي,media
bilateral,tanaa'i,تنائي,media
choice,xiyaar,خيار,media
choices,xiyaaraat,خيارات,media
investigation,taHqiiq,تحقيق,media
investigations,taHqiiqaat,تحقيقات,media
position,mawqif,موقف,media
positions,mawaaqif,مواقف,media
operation; process,3amaliyya,عملية,media
operation; processes,3amaliyyaat,عمليات,media
pressure on,DaġT,ضغط,media
pressure ons,DuġuuT 3ala,ضغوط على,media
sudden,mufaaji',مفاجئ,media
legitimate,mašruu3,مشروع,media
borders ,Huduud  Hadd,حدود    حدّ,media
wall,suur,سور,media
walls,aswaar,أسوار,media
letter,risaala,رسالة,media
letters,rasaa'il,رسائل,media
content,maDmuun,مضمون,media
contents,maDaamiin,مضامين,media
element ,3unSur,عنصر,media
element s,3anaaSir,عناصر,media
gang,3iSaaba,عصابة,media
gangs,3iSaabaat,عصابات,media
activist,naašiT,ناشط,media
activists,naašiTuun,ناشطون,media
volunteer,mutaTawwi3,متطوع,media
volunteers,mutaTawwi3a,متطوعة,media
charity (as a concept,xayriyya,خيرية,media
hiding place,maxba',مخبأ,media
hiding places,maxaabi',مخابئ,media
unknown,majhuul,مجهول,media
alert,istinfaar,استنفار,media
chain,silsila,سلسلة,media
chains,salaasil,سلاسل,media
source,maSdar,مصدر,media
sources,maSaadir,مصادر,media
personal,šaxSi,شخصي,media
area,saaHa,ساحة,media
areas,saaHaat,ساحات,media
framework,iTaar,اطار,media
frameworks,iTaaraat,اطارات,media
patrol,dawra,دورة,media
patrols,dawriyaat,دوريات,media
extensive,muwassa3,موسع,media
level,mustawa,مستوى,media
levels,mustawayaat,مستويات,media
guaranteeing,kafiil bi,كفيل بـ,media
character or stamp,Taabi3,طابع,media
character or stamps,Tawaabi3,طوابع,media
size,Hajm,حجم,media
sizes,aHjaam,أحجام,media
amount,HaSiila,حصيلة,media
amounts,HaSaa'il,حصائل,media
coming from,qaadiman min,قادما من,media
going to,mutawajjihan ila,متوجها إلى,media
extraordinary,istitnaa'i,استثنائي,media
influence,ta'tiir 3ala,تأثير على,media
checkpoint,nuqTat taftiiš,نقطة تفتيش,media
settlement,mustawTina,مستوطنة,media
settlements,mustawTinaat,مستوطنات,media
refugee,laaji',لاجئ,media
refugees,laaji'uun,لاجئون,media
camp,muxayyam,مخيم,media
camps,muxayyamaat,مخيمات,media
total,ijmaali,اجمالي,media
certainty,tiqqa,ثقة,media
doubt,šakk,شك,media
doubts,šukuuk,شكوك,media
offer,3arD,عرض,media
offers,3uruuD,عروض,media
colonialism,isti3maar,استعمار,media
entity,kiyaan,كيان,media
renaissance,nahDa,نهضة,media
trend,tayyaar,تيار,media
trends,tayyaaraat,تيارات,media
ideological,3aqaa'idi,عقائدي,media
complementing,mukammil,مكمّل,media
aiming at,raami ila,رامي إلى,media
wealth,tarwa,ثروة,media
wealth,tarawaat,ثروات,media
effective,fa33aal,فعال,media
useful,mufiid,مفيد,media
flag,3alam,علم,media
flags,a3laam,أعلام,media
flag,raaya,راية,media
flags,raayaat,رايات,media
term ,fitra,فترة,media
term s,fitaraat,فترات,media
term  or state,wilaaya,ولاية,media
term  or states,wilaayaat,ولايات,media
oil,nafT,نفط,media
crude ,xaam,خام,media
blaze,Hariiq,حريق,media
fire,naar,نار,media
misunderstanding,suu' tafaahum,سوء تفاهم,media
through,3abr,عبر,media
by means of,min Tariiq,من طريق,media
almost,naHw,نحو,media
resulting from,jarraa',جراء,media
in order to,min ajl,من أجل,media
during,xilaal,خلال,media
in the period of...,ibbaan,إبان,media
while,fiima,فيما,media
since,mundu,منذ,media
at,lada,لدى,media
within ,fi ġuDuun,في غضون,media
until or in order to,Hatta,حتى,media
immediately,fawran,فورا,media
recently,mu'axxiran,مؤخرا,media
previous,saabiq,سابق,media
next,qaadim,قادم,media
shortly before,qabiil,قبيل,media
as a prelude to,tamhiidan li,تمهيدا لـ,media
imminent,murtaqab,مرتقب,media
after,fi a3qaab,في أعقاب,media
immediately after,itra,إثر,media
later on,laaHiqan,لاحقا,media
accordingly,muqaabil daalik,مقابل ذلك,media
aside from,faDlan 3an,فضلا عن,media
either/whether __ or __,sawaa' __ am __,سواء __ أم __,media
in view of; with respect to,min Haytu ,من حيث ,media
where,Haytu,حيث,media
 when,Hiin,حين,media
considering,fi Doo',في ضوء,media
considering ,3ala i3tibaar anna,على اعتبار أن,media
especially,xaaSSatan,خاصة,media
sooner or later,3aajilan am aajlan,عاجل أم آجلا,media
on another hand,min jiha uxra,من جهة أخرى,media
propaganda; advertising,di3aaya,دعاية,media_2
brainwashing,ġasiil dimaaġ,غسيل دماغ,media_2
blame,3itaab/loom,عتاب | لوم,media_2
scapegoat,kabš fidaa',كبش فداء,media_2
pretext,Hujja,حجّة,media_2
pretexts,Hujaj,حجج,media_2
excuse for,3udr,عذر,media_2
excuse fors,a3daar li,أعذار لـ,media_2
acceptable,maqbuul,مقبول,media_2
reasonable,ma3quul,معقول,media_2
appropriate,munaasib,مناسب,media_2
fair,munSif,منصف,media_2
allowed,masmuuH,مسموح,media_2
permission,idn,اذن,media_2
permit,tarxiiS,ترخيص,media_2
permits,taraaxiiS,تراخيص,media_2
forbidden,mamnuu3/maHZuur,ممنوع | محظور,media_2
censorship of,raqaaba 3ala,رقابة على,media_2
offensive,musi'/muhiin,مسئ | مهين,media_2
limiting condition,taHaffuZ,تحفظ,media_2
limiting conditions,taHaffuZaat,تحفظات,media_2
limited,maHSuur 3ala,محصور على,media_2
tragedy,ma'saah,مأساة,media_2
tragedies,ma'aasin,مآس,media_2
disaster,muSiiba,مصيبة,media_2
disasters,muSiibaat,مصيبات,media_2
step ,xaTwa,خطوة,media_2
step s,xaTawaat ,خطوات ,media_2
mission,mahamma,مهمة,media_2
missions,mahaamm,مهام,media_2
determined,mu3ayyan,معيّن,media_2
accident,haaditha,حادثة,media_2
accidents,hawaadit,حوادث,media_2
proofs,adilla 3ala,أدلة على,media_2
high treason,xiyaana 3uZma,خيانة عظمى,media_2
agent; collaborator,3amiil,عميل,media_2
