English,Egyptian Arabic,Transliteration
wives,زوجات,zawjaat
pregnant,حامل,Haamil
divorce,طلاق,Talaa'
widower - widow,أرمل - أرملة,armal - armala
widower - widows,أرامل,araamil
society or community,مجتمع,mugtama3
society or communities,مجتمعات,mugtama3aat
culture,ثقافة,saqaafa
cultures,ثقافات,saqafaat
civilization,حضارة,HaDaara
civilizations,حضارات,HaDaraat
tradition,تقليد,taqliid
traditions,تقاليد,taqaliid
custom,عادة,3aada
customs,عادات,3adaat
dialect,لهجة,lahaga
dialects,لهجات,lahagaat
tribe,قبيلة,'abiila
tribes,قبايل,'abaayil
news,خبر,xabar
news,أخبار,axbaar
current,حالي,Haali
latest,آخر,aaxir
development,تطوّر,taTawwur
developments,تطوّرات,taTawwuraat
event,حدث,Hadat
events,أحداث,aHdaat
situation,وضع,waD3
situations,أوضاع,awDaa3
state,حال,Haal
states,أحوال,aHwaal
circumstance,ظرف,Zarf
circumstances,ظروف,Zuruuf
topic,موضوع,mawDuu3
topics,مواضيع,mawaaDii3
phenomenon,ظاهرة,Zaahira
phenomena,ظواهر,Zawaahir
field,مجال,majaal
fields,مجالات,majaalaat
identity,هوية,hawiyya
identities,هويات,hawiyyaat
measure,اجراء,ijraa'
measures,اجراءات,ijraa'aat
list,قائمة,qaa'ima
lists,قوائم,qawaa'im
guest,ضيف,Deif
guests,ضيوف,Duyuuf
summit,قمة,qimma
summits,قمات,qimmaat
meeting,اجتماع,ijtimaa3
meetings,اجتماعات,ijtimaa3aat
conference,مؤتمر,mu'tamar
conferences,مؤتمرات,mu'tamaraat
symposium,ندوة,nadwa
symposia,ندوات,nadawaat
session or round,دورة,doora
session or rounds,دورات,dooraat
session,جلسة,jalsa
sessions,جلسات,jalasaat
to be held,انعقد – ينعقد ,in3aqada, yan3aqidu 
contact,اتصال,ittiSaal
contacts,اتصالات مع | بـ,ittiSaalaat ma3a/bi
relations with,علاقات مع,3alaqaat ma3a
link,رابط,raabiT
links,روابط بـ,rawaabiT bi
number,عدد,3adad
numbers,أعداد,a3daad
common,مشترك,muštarak
mutual,متبادل,mutabaadal
means,سبيل,sabiil
means,سبل,subul
manner,طريقة,Tariiqa
manners,طرائق,Taraa'iq
beginning,بداية,bidaaya
end,نهاية,nihaaya
statement,تصريح,taSriiH
statements,تصريحات,taSriiHaat
announcement,اعلان,i3laan
announcements,اعلانات,i3laanaat
official ,رسمي,rasmi
decision; resolution,قرار,qaraar
decision; resolutions,قرارات,qaraaraat
petition,عريضة,3ariiDa
petitions,عرائض,3araa'iD
initiative,مبادرة,mubaadara
initiatives,مبادرات,mubaadaraat
suggestion,اقتراح,iqtiraaH
suggestions,اقتراحات,iqtiraaHaat
hypothetical,افتراضي,iftiraaDi
plan,خطة,xiTTa
plans,خطط,xuTaT
project,مشروع,mašruu3
projects,مشاريع,mašaarii3
speech,خطاب,xiTaab
speeches,خطابات,xiTaabaat
reply,ردّ,radd
replies,ردود,ruduud
reaction,ردّ فعل,radd fi3l
development,تنمية,tanmiyya
growth,نمو,numuww
continuing,مستمر,mustamirr
prepared,مستعد,musta3idd
agenda,برنامج عمل,barnaamaj 3amal
control,هيمنة,haymana
interest,مصلحة,maSlaHa
interests,مصالح,maSaaliH
will,ارادة,iraada
desire,رغبة,raġba
desires,رغبات في,raġabaat fi
observer,مراقب,muraaqib
observers,مراقبون,muraaqibuun
vision,رؤية,ru'iya
visions,رؤى,ru'a
comprehensive,شامل,šaamil
complete,كامل,kaamil
basis,أساس,asaas
bases,أسس,usus
accusation,اتّهام,ittihaam
accusations,اتّهامات,ittihaamaat
invalid,باطل,baaTil
demonstration,مظاهرة,muZaahara
demonstrations,مظاهرات,muZaaharaat
crowded,حاشد,Haašid
march,مسيرة,masiira
marches,مسيرات,masiiraat
parade,استعراض,isti3raaD
parades,استعراضات,isti3raaDaat
riot,شغب,šaġab
popular demand,اقبال شعبي,iqbaal ša3bi
sit-in,اعتصام,i3tiSaam
sit-ins,اعتصامات,i3tiSaamaat
strike,اضراب,iDraab
strikes,اضرابات,iDraabaat
protesting cry,هتاف,hutaaf
protesting cries,هتافات,hutaafaat
sign or leaflet,لافتة,laafita
sign or leaflets,لافتات,laafitaat
international,دولي,dawli
regional,إقليمي,iqliimi
local,محلي,maHalli
bilateral,تنائي,tanaa'i
choice,خيار,xiyaar
choices,خيارات,xiyaaraat
investigation,تحقيق,taHqiiq
investigations,تحقيقات,taHqiiqaat
position,موقف,mawqif
positions,مواقف,mawaaqif
operation; process,عملية,3amaliyya
operation; processes,عمليات,3amaliyyaat
pressure on,ضغط,DaġT
pressure ons,ضغوط على,DuġuuT 3ala
sudden,مفاجئ,mufaaji'
legitimate,مشروع,mašruu3
borders ,حدود    حدّ,Huduud  Hadd
wall,سور,suur
walls,أسوار,aswaar
letter,رسالة,risaala
letters,رسائل,rasaa'il
content,مضمون,maDmuun
contents,مضامين,maDaamiin
element ,عنصر,3unSur
element s,عناصر,3anaaSir
gang,عصابة,3iSaaba
gangs,عصابات,3iSaabaat
activist,ناشط,naašiT
activists,ناشطون,naašiTuun
volunteer,متطوع,mutaTawwi3
volunteers,متطوعة,mutaTawwi3a
charity (as a concept,خيرية,xayriyya
hiding place,مخبأ,maxba'
hiding places,مخابئ,maxaabi'
unknown,مجهول,majhuul
alert,استنفار,istinfaar
chain,سلسلة,silsila
chains,سلاسل,salaasil
source,مصدر,maSdar
sources,مصادر,maSaadir
personal,شخصي,šaxSi
area,ساحة,saaHa
areas,ساحات,saaHaat
framework,اطار,iTaar
frameworks,اطارات,iTaaraat
patrol,دورة,dawra
patrols,دوريات,dawriyaat
extensive,موسع,muwassa3
wide,واسع,waasi3
level,مستوى,mustawa
levels,مستويات,mustawayaat
guaranteeing,كفيل بـ,kafiil bi
character or stamp,طابع,Taabi3
character or stamps,طوابع,Tawaabi3
size,حجم,Hajm
sizes,أحجام,aHjaam
amount,حصيلة,HaSiila
amounts,حصائل,HaSaa'il
coming from,قادما من,qaadiman min
going to,متوجها إلى,mutawajjihan ila
extraordinary,استثنائي,istitnaa'i
influence,تأثير على,ta'tiir 3ala
checkpoint,نقطة تفتيش,nuqTat taftiiš
settlement,مستوطنة,mustawTina
settlements,مستوطنات,mustawTinaat
refugee,لاجئ,laaji'
refugees,لاجئون,laaji'uun
camp,مخيم,muxayyam
camps,مخيمات,muxayyamaat
total,اجمالي,ijmaali
certainty,ثقة,tiqqa
doubt,شك,šakk
doubts,شكوك,šukuuk
offer,عرض,3arD
offers,عروض,3uruuD
colonialism,استعمار,isti3maar
entity,كيان,kiyaan
renaissance,نهضة,nahDa
trend,تيار,tayyaar
trends,تيارات,tayyaaraat
ideological,عقائدي,3aqaa'idi
complementing,مكمّل,mukammil
aiming at,رامي إلى,raami ila
wealth,ثروة,tarwa
wealth,ثروات,tarawaat
effective,فعال,fa33aal
useful,مفيد,mufiid
flag,علم,3alam
flags,أعلام,a3laam
flag,راية,raaya
flags,رايات,raayaat
term ,فترة,fitra
term s,فترات,fitaraat
term  or state,ولاية,wilaaya
term  or states,ولايات,wilaayaat
oil,نفط,nafT
crude ,خام,xaam
blaze,حريق,Hariiq
fire,نار,naar
misunderstanding,سوء تفاهم,suu' tafaahum
through,عبر,3abr
by means of,من طريق,min Tariiq
almost,نحو,naHw
resulting from,جراء,jarraa'
in order to,من أجل,min ajl
during,خلال,xilaal
in the period of...,إبان,ibbaan
while,فيما,fiima
since,منذ,mundu
at,لدى,lada
within ,في غضون,fi ġuDuun
until or in order to,حتى,Hatta
immediately,فورا,fawran
recently,مؤخرا,mu'axxiran
previous,سابق,saabiq
next,قادم,qaadim
shortly before,قبيل,qabiil
as a prelude to,تمهيدا لـ,tamhiidan li
imminent,مرتقب,murtaqab
after,في أعقاب,fi a3qaab
immediately after,إثر,itra
later on,لاحقا,laaHiqan
accordingly,مقابل ذلك,muqaabil daalik
aside from,فضلا عن,faDlan 3an
either/whether __ or __,سواء __ أم __,sawaa' __ am __
in view of; with respect to,من حيث ,min Haytu 
where,حيث,Haytu
 when,حين,Hiin
considering,في ضوء,fi Doo'
considering ,على اعتبار أن,3ala i3tibaar anna
especially,خاصة,xaaSSatan
sooner or later,عاجل أم آجلا,3aajilan am aajlan
on another hand,من جهة أخرى,min jiha uxra
propaganda; advertising,دعاية,di3aaya
brainwashing,غسيل دماغ,ġasiil dimaaġ
blame,عتاب | لوم,3itaab/loom
scapegoat,كبش فداء,kabš fidaa'
pretext,حجّة,Hujja
pretexts,حجج,Hujaj
excuse for,عذر,3udr
excuse fors,أعذار لـ,a3daar li
acceptable,مقبول,maqbuul
reasonable,معقول,ma3quul
appropriate,مناسب,munaasib
fair,منصف,munSif
allowed,مسموح,masmuuH
permission,اذن,idn
permit,ترخيص,tarxiiS
permits,تراخيص,taraaxiiS
forbidden,ممنوع | محظور,mamnuu3/maHZuur
censorship of,رقابة على,raqaaba 3ala
offensive,مسئ | مهين,musi'/muhiin
limiting condition,تحفظ,taHaffuZ
limiting conditions,تحفظات,taHaffuZaat
limited,محصور على,maHSuur 3ala
tragedy,مأساة,ma'saah
tragedies,مآس,ma'aasin
disaster,مصيبة,muSiiba
disasters,مصيبات,muSiibaat
step ,خطوة,xaTwa
step s,خطوات ,xaTawaat 
standard,معيار,mi3yaar
standards,معايير,ma3aayiir
mission,مهمة,mahamma
missions,مهام,mahaamm
determined,معيّن,mu3ayyan
accident,حادثة,haaditha
accidents,حوادث,hawaadit
proof,دليل,daliil
proofs,أدلة على,adilla 3ala
high treason,خيانة عظمى,xiyaana 3uZma
agent; collaborator,عميل,3amiil
agent; collaborators,عملاء,3umalaa'
collaborator,متعاون,muta3aawin
collaborators,متعاونون,muta3aawinuun
double agent,عميل مزدوج,3amiil muzdawaj
spy,جاسوس,jaasuus
spies,جواسيس,jawaasiis
traitor,خائن,xaa'in
traitors,خونة,xawana
secretly,سريا,sirriyyan
secret,سرّ,sirr
secrets,أسرار,asraar
privilege,امتياز,imtiyaaz
privileges,امتيازات,imtiyaazaat
special treatment,معاملة خاصّة,mu3aamala xaaSSa
differentiation,تفرقة بين,tafriqa bein
bias towards/against,انحياز لـ | ضد,inHiyaaz li/Didd
biased,منحاز,munHaaz
neutral,محايد,muHaayid
sectarian,طائفي,Taa'ifi
aid,عون,3oon
human shield,درع بشري,dir3 bašari
human shields,دروع بشرية,duruu3 bašariyya
chance,فرصة,furSa
chances,فرص,furaS
intense,كثيف,katiif
intenses,كثاف,kitaaf
isolation from,عزلة عن,3uzla 3an
terrorism,ارهاب,irhaab
terrorist,ارهابي,irhaabi
cell,خلية,xaliyya
cells,خلايا,xalaayaa
suicide bombing,عملية انتحارية,3amaliyya intiHaariyya
extremist,متطرف,mutaTarrif
fanatic,متعصب,muta3aSSib
fundamentalist,أصولي,uSuuli
moderate,معتدل,mu3tadil
backwards,متخلّف,mutaxallif
progressive,متقدّم,mutaqaddim
modern,حديث,Hadiit
moderns,حدثاء,Hudataa'
condition,شرط,šarT
conditions,شروط,šuruuT
requirements,متطلّبات,mutaTallibaat
necessity,ضرورة,Daruura
necessities,ضرورات,Daruuraat
talent,موهبة,mawhiba
talents,مواهب,mawaahib
strong ,قوي,qawi
strong s,أقوياء  ,aqwiyaa' 
weak ,ضعيف,Da3iif
weak s,ضعفاء ,Du3afaa' 
firm,وثيق,watiiq
harm,ضرر,Darar
harms,أضرار,aDraar
to no avail,هدرا,hadran
headquarters,معقل,ma3qil
headquarters,معاقل,ma3aaqil
model,نموذج,numuudaj
models,نموذجات,numuudajaat
after the pattern of,على غرار,3ala ġiraar
equally,على حدّ سواء,3ala Haddin sawaa'
nuclear program,برنامج نووي,barnaamaj nawawi
reactor,منشأة,munša'a
reactors,منشآت,munša'aat
compound,مجمّع,mujamma3
sanctions,عقوبات,3uquubaat
hostage,رهينة,rahiina
hostages,رهائن,rahaa'in
to order,أمر – يؤمر ,amara, yu'muru 
order,أمر,amr
orders,أوامر,awaamir
dictation,املاء,imlaa'
dictations,املاءات,imlaa'aat
nadir,تدنٍ,tadannin
spread,تفشٍ,tafaššin
presence,وجود,wujuud
absence,غياب,ġiyaab
lack of,عدم,3adam
obstacle,عائق,3aa'iq
obstacles,معوقات,mu3awwaqaat
deterrent,رادع,raadi3
deterrents,روادع,rawaadi3
challenge,تحدٍ,taHaddin
challenges,تحديات,taHaddiyaat
difficulty,صعوبة,Su3uuba
difficulties,صعوبات,Su3uubaat
disintegration,تفكك,tafakkuk
breakdown,انهيار,inhiyaar
fall,انحدار,inHidaar
deterioration,تدهور,tadahuur
exacerbation,تفاقم,tafaaqum
destabilization,زعزعة,za3za3a
chaos,فوضى,fawDa
crisis,أزمة,azma
crises,أزمات,azamaat
tension,توتر,tawattur
tensions,توترات,tawatturaat
problem,مشكلة,muškila
problems,مشكلات | مشاكل,muškilaat/mišaakil
commitment to,التزام,iltizaam
commitment tos,التزامات بـ,iltizaamaat bi
adherence to,تمسّك بـ,tamassuk bi
competition,منافسة,munaafasa
contest,مسابقة,musaabaqa
side,طرف,Taraf
sides,أطراف,aTraaf
goal,هدف,hadaf
goals,أهداف,ahdaaf
aim,غرض,ġaraD
aims,أغراض,aġraaD
intention,نية,niyya
intentions,نوايا,nawaayaa
accomplishment,انجاز,injaaz
accomplishments,انجازات,injaazaat
plea,توسّل,tawassul
pleas,توسّلات,tawassulaat
danger ,خطر  ,xaTar 
burden ,عبء,3ib'
burden s,أعباء على,a3baa' 3ala
numerous,متعدّد,muta3addid
different,مختلف,muxtalif
miscellaneous,متفرّق,mutafarriq
various,متنوّع,mutanawwi3
difference,فرق,farq
differences,فروق,furuuq
to assassinate,اغتال – يغتول ,iġtaala, yaġtuulu 
effort,جهد,jahd
efforts,جهود,juhuud
welfare,رفاهية,rafaahiyya
possibility ,امكانية,imkaaniyya
possibility s,امكانيات ,imkaaniyyaat 
probability ,احتمال,iHtimaal
probability s,احتمالات ,iHtimaalaat 
stage,مرحلة,marHala
stages,مراحل,maraaHil
behavior,تصرفات,taSarrufaat
attitude,عقلية,3aqliyya
attitudes,عقليات,3aqliyyaat
occasion,مناسبة,munaasaba
occasions,مناسبات,munaasabaat
anniversary; memory,ذكرى,dikra
anniversary; memories,ذكريات,dikrayaat
economy,اقتصاد,iqtiSaad
trade,تجارة,tijaara
unemployment,بطالة,baTaala
export,صادر,Saadir
exports,صادرات,Saadiraat
import,مستورد,mustawrad
imports,مستوردات,mustawradaat
resource,مورد,mawrid
resources,موارد,mawaarid
supply,توريد,tawriid
market,سوق,suuq
markets,أسواق,aswaaq
stock market,بورصة,borSa
price,سعر,si3r
prices,أسعار,as3aar
currency,عملة,3umla
share,سهم,sahm
shares,أسهم,ashum
bond,سند,sanad
bonds,سندات,sanadaat
profit,ربح,ribH
profits,أرباح,arbaaH
budget,ميزانية,miizaaniyya
industry,صناعة,Sinaa3a
industries,صناعات,Sinaa3aat
products,منتجات,muntajaat
goods,بضائع  بضاعة,baDaa'i3  biDaa3a
commodities,سلعة    سلع,sil3a  sila3
monopoly,احتكار,iHtikaar
rise in prices,غلاء,ġalaa'
inflation,تضخم,taDaxxum
consumption,استهلاك,istihlaak
surplus,فائض,faa'iD
average,معدل,mu3addal
tax,ضريبة,Dariiba
taxes,ضرائب,Daraa'ib
cost,تكليف,takliif
costs,تكاليف,takaaliif
expenditure,انفاق,infaaq
prosperity,رخاء,raxaa'
recession,كساد,kasaad
GDP,ناتج محلي اجمالي,naatij maHalli ijmaali
containment,احتواء,iHtiwaa'
restiveness,اضطراب,iDTiraab
restivenesses,اضطرابات,iDTiraabaat
deficiency; defective,خلل,xalal
panic,هلع من,hala3 min
controversy,جدل,jadal
debate,سجال,sijaal
outcry,ضجّة,Dajja
chaotic,همجي,hamaji
opponent,خصم,xaSm
opponents,خصوم,xuSuum
legacy,تركة,tarika
legacies,تركات,tarikaat
legitimacy,شرعية,šar3iyya
credibility,مصداقية,miSdaaqiyya
reputation,سمعة,sum3a
morale,معنويات,ma3nawiyyaat
awareness,وعي,wa3y
indifference,لا مبالاة,la mubaalaah
distortion,تشويه,tašwiih
positive point,إيجابية,iijaabiyya
positive points,إيجابيات,iijaabiyyaat
negative point,سلبية,silbiyya
negative points,سلبيات,silbiyyaat
benefit,مزية,maziyya
benefits,مزايا,mazaaya
benefit,فائدة,faa'ida
benefits,فوائد,fawaa'id
gain,عائدة,3aa'ida
gains,عوائد,3awaa'id
use,نفع,naf3
value,قيمة,qiima
quantity,كمية,kammiyya
quantities,كميات,kammiyyaat
terminology,مصطلح,muSTalaH
terminologies,مصطلحات,muSTalaHaat
conventional,مصطلح,muSTalaH
normal,عادي,3aadi
stalemate,جمود سياسي,jumuud siyaasi
eligibility,لياقة,liyaaqa
remainder,بقية,baqiyya
remainders,بقايا,baqaaya
fossil,أحفور,uHfuur
fossils,أحافير,aHaafiir
on the threshold of,على أعتاب,3ala a3taab
on the verge of,على شفا,3ala šafa
rift,صدع,Sad3
rifts,صدوع,Suduu3
trap,فخ,faxx
traps,فخوخ,fuxuux
a tight spot,موقف حرج,mawqif Harij
predicament,مأزق,ma'ziq
predicaments,مآزق,ma'aaziq
claim,ادعاء,iddi3aa'
claims,ادعاءات,iddi3aa'aat
deal,صفقة,Safqa
deals,صفقات,Safaqaat
cover-up,تغطية على,taġTiyya 3ala
conspiracy,مؤامرة,mu'aamara
conspiracies,مؤامرات,mu'aamaraat
theory,نظرية,naZariyya
theories,نظريات,naZariyyaat
idea,فكرة,fikra
ideas,أفكار,afkaar
concept,مفهوم,mafhuum
concepts,مفاهيم,mafaahiim
generalization,تعميم,ta3miim
stereotype,صورة نمطية,Suura namaTiyya
mediation,وساطة,wisaaTa
imagination,خيال,xayaal
delusion,وهم,wahm
delusions,أوهام,awhaam
reality,واقع,waaqi3
facts,حقائق    حقيقة,Haqaa'iq  Haqiiqa
vital,حيوي,Hayawi
fateful,مصيري,maSiiri
decisive,حاسم,Haasim
substantial,جوهري,jawhari
fundamental,أساسي,asaasi
necessary,ضروري,Daruuri
priority,أولوية,awlawiyya
priorities,أولويات,awlawiyyaat
breakthrough,اختراق,ixtiraaq
axis or central point,محور,miHwar
axis or central points,محاور,maHaawir
proximity,محاذاة,muHaadaah
neighboring,مجاور,mujaawir
details,تفاصيل,tafaaSiil
more of,مزيد من,muziid min
loyalty,ولاء,walaa'
banquet,وليمة,waliima
banquets,ولائم,walaa'im
rostrum,منبر,minbar
rostrums,منابر,manaabir
developing countries,دول نامية,duwal naamiyya
collective punishment,عقاب جماعي,3iqaab jamaa3i
lame duck ,بطة عرجاء,baTTa 3arjaa'
prevailing,سائد,saa'id
of historical dimensions,ذو أبعاد تاريخية,duu ab3aad taariixiyya
invalid,باطل,baaTil
egregious,صارخ,Saarix
fierce,ضارٍ,Daarin
harsh,قاسٍ,qaasin
fake,ملفق,mulaffaq
contradicting,متضارب,mutaDaarib
disparate,متباين,mutabaayin
great,جسيم,jasiim
large,كبير,kabiir
huge,ضخم,Daxm
giant,علاق,3imlaaq
giants,عمالقة,3amaaliqa
prominent,بارز,baariz
young,ناشئ,naaši'
growing,متنامٍ,mutanaamin
mature,ناضج,naaDij
existing,قائم,qaa'im
glorious,مجيد,majiid
clear,واضح,waaDiH
obvious,ملحوظ,malHuuZ
small,ضئيل,Da'iil
knowledgeable,مطلع على,muTla3 3ala
horrific,بشع,baši3
complicated,معقد,mu3aqqad
accurate ,دقيق ,daqiiq 
extinct,منقرض,munqariD
following ,تالي,taali
conditional,منوط بـ,manuuT bi
solidarity with,تضامن مع,taDaamun ma3a
coordination,تنسيق,tansiiq
activity,نشاط,našaaT
activities,نشاطات | أنشظة,našaaTaat/anšiTa
vice,رذيلة,radiila
vices,رذائل,radaa'il
conclusion,استنتاج,istintaaj
involvement,انخراط في,inxiraaT fi
deviation ,انحراف,inHiraaf
counter-,مضادّ,muDaadd
frustration,احباط,iHbaaT
worry,قلق,qalaq
failure,اخفاق,ixfaaq
failures,اخفاقات,ixfaaqaat
incentive ,حافز,Haafiz
incentive s,حوافز على,Hawaafiz 3ala
rank,جاه,jaah
tone,وتيرة,watiira
tones,وتائر,wataa'ir
verbal,لفظي,lafZi
oral,شهوي,šafawi
captivity,أسر,asr
to harp on,ضرب على نغمة __,Daraba 3ala naġmat ___
form or application,استمارة,istimaara
form or applications,استمارات,istimaaraat
art,فن,fann
arts,فنون,funuun
artist ,فنان,fannaan
drawing,رسم,rasm
drawings,رسوم,rusuum
painter,رسام,rassaam
paint,دهان,dihaan
paints,دهانات,dihaanat
charcoal,فحم,faHm
pottery,فخار,fuxxaar
ceramics,خزف,xazaf
clay,صلصال,SalSaal
statue,تمثال,timsaal
statues,تماثيل,tamasiil
mosaics,فسيفساء,fuseifisaa'
weaving,نسيج,nasiig
bellydance,رقص شرقي,ra'S šar'i
music,موسيقى,musiiqa
singer,مغني,muġanni
rock star,نجم,nagm
rock stars,نجوم الروك,nuguum ar-rock
band,فرقة,fir'a
bands,فرق,fira'
choir,جوقة,goo'a
choirs,جوقات,goo'aat
lead singer,مغنٍ رئيسي,muġanni ra'iisi
composer,ملحن,mulaHHin
song,أغنية,oġniyya
songs,أغاني,aġaani
verse,كوبليه,kobleih
verses,كوبليهات,kobleihaat
album,ألبوم,albuum
albums,ألبومات,albuumaat
tape,شريط,širiiT
tapes,شرايط,šaraayiT
record,اسطوانة,isTiwaana
records,اسطوانات,isTiwaanaat
lyrics,كلمات أغنية | أغاني,kelimaat oġniyya/aġaani
melody,لحن,laHn
melodies,ألحان,alHaan
tune,نغم,naġm
tunes,أنغام,anġaam
music video,فيديو كليب,viidiyo kliip
music videos,فيديو كليبات,viidiyo kliipaat
screenshot,لقطة,laqTa
screenshots,لقطات,laqaTaat
tour,جولة غنائية,goola ġanaa'iyya
promotion,ترويج,tarwiig
concert,حفلة موسيقية,Hafla musiqiyya
fans,جمهور,gumhuur
musical instrument,آلة,aala
musical instruments,آلات موسيقية,aalaat musiqiyya
violin,كمنجة,kamanga
violins,كمنجات,kamangaat
drum,طبلة,Tabla
drums,طبل,Tubal
oud ,عود,3uud
oud s,أعواد,a3waad
bamboo flute,ناي,naay
bamboo flutes,نايات,naayaat
voice ,صوت,Soot
voice s,أصوات,aSwaat
movie,فيلم,film
movies,أفلام,aflaam
actor,ممثل,mumassil
star,نجم,nagm
stars,نجوم,nuguum
famous ,مشهور,mašhuur
famous s,مشاهير ,mašahiir 
supporting actor,ممثل مساعد,mumassil musaa3id
child star,نجم طفل,nagm Tifl
director,مخرج,muxrig
producer,منتج,muntig
script,سيناريو,sinaryo
scripts,سيناريوهات,sinaryohaat
original screenplay,سيناريو أصلي,sinaryo aSli
adapted screenplay,سيناريو مقتبس,sinaryo muqtabas
special effects,مؤثرات ,mu'assiraat
sound effects,مؤثرات صوتية,mu'assiraat Sootiyya
visual effects,مؤثرات بصرية,mu'assiraat baSariyya
makeup,مكياج,makyaaž
cinematography,تصوير,taSwiir
editing,تحرير,taHriir
critic,ناقد,naaqid
critics,نقّاد,nuqqaad
review,مراجعة,muraaga3a
reviews,مراجعات,muraaga3aat
positive,ايجابي,iigaabi
negative,سلبي,silbi
rating (G,تصنيف,taSniif
assessment; rating ,تقييم,taqyiim
Oscar award,جايزة,gayzit oscar
Oscar awards,جوايز أوسكار,gawaayiz oscar
starring...,بطولة,biTuula
role,دور,door
roles,أدوار,adwaar
performance,أداء,adaa'
performances,أداءات,adaa'aat
portrayal,تجسيد,tagsiid
showing,عرض,3arD
showings,عروض,3uruuD
character,شخصية,šaxSiyya
characters,شخصيات,šaxSiyyaat
hero,بطل,baTal
heroes,أبطال,abTaal
scene,مشهد,mašhad
scenes,مشاهد,mašaahid
revenue,ايراد,iiraad
revenues,ايرادات,iiraadaat
record,رقم قياسي,raqam qiyaasi
festival,مهرجان,mahragaan
festivals,مهرجانات,mahragaanaat
failure,اخفاق,ixfaaq
success,نجاح,nagaaH
popular,شعبي,ša3bi
movie theater,سينما,siinema
poster,ملصق,mulSaq
posters,ملصقات,mulSaqaat
ticket,تذكرة,tazkara
tickets,تذاكر,tazaakir
screen,شاشة,šaaša
screens,شاشات,šaašaat
drama,دراما,draama
comedy,كوديدي,komedy
action,أكشن,akšun
adventure,مغامرة,muġaamara
crime,اجرام,igraam
family,عائلي,3aa'ili
fantasy,خيالي,xayaali
science fiction,خيالي علمي,xayaali 3ilmi
horror,رعب,ra3b
mystery,لغز,luġz
thriller,مشوق | تشويق,tašwiiq/mušawwiq
romance,رومانسي,romaansi
musical,موسيقي,muusiiqi
war,حربي,Harbi
historical,تاريخي,tariixi
documentary,وثائقي,wasaa'iqi
cartoon,كرتون,kartuun
dubbed,مدبلج,mudablag
subtitled,مترجم,mutargam
entertainment,تسلية,tasliyya
relaxation,ترفيه,tarfiih
epic,ملحمي,malHami
cinematic masterpiece,تحفة,tuHfa
cinematic masterpieces,تحف سينمائية,tuHaf sinimaa'iyya
devastating,مدمر,mudammir
exciting ,مثير ,musiir 
full of,مليان بـ,malyaan bi
fun,مرح,maraH
enjoyable,ممتع,mumti3
entertaining,مسلي,musalli
excellent,رائع,raa'i3
distinguished,مميز,mumayyaz
special,متميز,mutamayyiz
great,ممتاز,mumtaaz
unique,فريد,fariid
rare,نادر,naadir
marvellous,خارق,xaariq
astonishing,مذهل,muzhil
attractive,جذاب,gazzaab
funny,مضحك,muDHik
boring,مملّ,mumill
ordinary,عادي,3aadi
exaggerated,مبالغ,mubaaliġ
silly,سخيف,saxiif
realistic,واقعي,waaqi3i
mysterious,غامض,ġaamiD
terrifying,مفزع,mufzi3
disgusting,مقرف,mo'rif
literature,أدب,adab
literature,آداب,aadaab
novel,رواية,riwaaya
novels,روايات,riwaayaat
short story,قصة,qiSSa qaSiira
short stories,قصص قصيرة,qiSaS qaSiira
book,كتاب,kitaab
books,كتب,kutub
series,سلسلة,silsila
series,سلاسل,salaasil
writer,كاتب,kaatib
writers,كتاب,kuttaab
author,مؤلف,mu'allif
author,أديب,adiib
authors,أدباء,udabaa'
introduction,مقدمة,muqaddima
introductions,مقدمات,muqaddimaat
preface,تمهيد,tamhiid
dedication to,اهداء لـ | إلى,ihdaa' li/ila
chapter,فصل,faSl
chapters,فصول,fuSuul
index,فهرس,fihris
indices,فهارس,fahaaris
page,صفحة,SafHa
pages,صفحات,SafaHaat
word,كلمة,kelma
words,كلمات,kelimaat
sentence,جملة,gomla
sentences,جمل,gumal
line,سطر,saTr
lines,سطور,suTuur
paragraph,فقرة,fiqra
paragraphs,فقرات,fiqaraat
passage,نص,naSS
passages,نصوص,nuSuuS
poetry,شعر,ši3r
poem,قصيدة,'aSiida
poems,قصائد,'aSaayid
stanza,مقطوعة,maqtuu3a
stanzas,مقطوعات,maqTuu3aat
verse,بيت,bait
verses,أبيات,abyaat
collection of poetry,ديوان,diiwaan
collection of poetries,دواوين,dawaawiin
poet,شاعر,šaa3ir
poets,شعراء,šu3araa'
complete works,أعمال كاملة,a3maal kaamila
play,مسرحية,masraHiyya
plays,مسرحيات,masraHiyyaat
theater,مسرح,masraH
theaters,مسارح,masaariH
act,فصل,faSl
acts,فصول,fuSuul
scene,مشهد,mašhad
scenes,مشاهد,mašaahid
television,تلفزيون,televizyoon
televisions,تلفزيونات,televizyoonaat
program,برنامج,barnaamag
programs,برامج,baraamig
TV show,مسلسل,musalsal
TV shows,مسلسلات,musalsalaat
episode,حلقة,Hal'a
episodes,حلقات,Hal'aat
report,تقرير,taqriir
reports,تقارير,taqaariir
network,شبكة,šabaka
networks,شبكات,šabakaat
channel,قناة,qanaah
channels,قناوات,qanaawaat
satellite channels,فضائيات,faDaa'iyaat
advertisement ,إعلان,i3laan
advertisement s,إعلانات,i3laanaat
host,مقدّم,muqaddim
correspondent,مراسل,muraasil
broadcaster,مذيع,muzii3
live ,مباشر,mubaašir
